Question,Answer
"What disease causes Fever, Abdominal pain or cramps, Bloody stools, Headache, Fatigue, Dehydration, Muscle aches, Feverish, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Irritability, Cough, Vomiting, Loss of appetite, Abdominal pain, Body aches?",Roseola
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Nausea, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Irritability?",Norovirus Infection
"What disease causes Rash, Irritability, Swollen lymph nodes, Cough, Red eyes, Vomiting, Loss of appetite, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Loss of appetite, Dehydration, Sweating, Rashes?",Norovirus Infection
"What disease causes Rash, Irritability, Cough, Diarrhea, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Dehydration, Loss of appetite, Muscle aches, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, General discomfort?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Cough, Loss of appetite, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes High fever, Rash, Irritability, Swollen lymph nodes, Headache, Cough, Red eyes, Body aches, Rashes?",Roseola
"What disease causes High fever, Rash, Swollen lymph nodes, Headache, Cough, Red eyes, Abdominal pain, Feverish?",Roseola
"What disease causes High fever, Runny nose, Rash, Swollen lymph nodes, Sore throat, Headache, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes Fever, Headache, Fatigue, Muscle aches, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Loss of appetite, Sweating, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Runny nose, Rash, Irritability, Swollen lymph nodes, Cough, Vomiting, Loss of appetite, Chills?",Roseola
"What disease causes Headache, Loss of appetite, Dehydration, Body aches, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Rash, Irritability, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Chills?",Roseola
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite?",Norovirus Infection
"What disease causes Stomach cramps, Nausea, Fatigue, Dehydration, Chills, Sweating, Body aches, Rashes, Irritability?",Norovirus Infection
"What disease causes Vomiting, Low-grade fever, Fatigue, Abdominal pain, Chills, Sweating, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Abdominal pain, Chills, Sweating, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Rash, Irritability, Fatigue, Swollen lymph nodes, Red eyes, Diarrhea, Vomiting, Chills?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Fatigue, Loss of appetite, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, Feverish, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Rash, Irritability, Sore throat, Cough, Loss of appetite, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Diarrhea, Vomiting, Headache, Abdominal pain, Sweating, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Chills, Sweating, Body aches, Rashes?",Norovirus Infection
"What disease causes Nausea, Bloody stools, Stomach cramps, Fatigue, Loss of appetite, Feverish, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Swollen, painful salivary glands, Muscle aches, Tiredness, Loss of appetite, Headache, Muscle aches, Tiredness?",Mumps
"What disease causes Stomach cramps, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Runny nose, Rash, Irritability, Fatigue, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Rash, Irritability, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Bloody stools, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Nausea, Vomiting, Bloody stools, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Muscle aches, Abdominal pain, Loss of appetite, Chills, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Chills, Rashes?",Norovirus Infection
"What disease causes Vomiting, Low-grade fever, Headache, Fatigue, Loss of appetite, Chills, Body aches, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Nausea, Bloody stools, Loss of appetite, Body aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Nausea, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Irritability, Fatigue, Sore throat, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain?",Roseola
"What disease causes Low-grade fever, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Nausea, Headache, Dehydration, Sweating, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Fatigue, Loss of appetite, Muscle aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Nausea, Vomiting, Headache, Fatigue, Loss of appetite, Body aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Swollen lymph nodes, Sore throat, Headache, Loss of appetite, Abdominal pain, Rashes, Chills, Feverish?",Roseola
"What disease causes Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Abdominal pain, Loss of appetite, Chills, Body aches, General discomfort, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Irritability?",Norovirus Infection
"What disease causes High fever, Irritability, Fatigue, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Chills, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Sore throat, Fever, Swollen lymph nodes, Rash, Body aches, Loss of appetite?",Strep Throat
"What disease causes Fever, Rash on hands and feet, Irritability, Sore throat, Mouth sores, Red spots, Blisters, Cough, Headache, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Headache, Fatigue, Dehydration, Muscle aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Swollen, painful salivary glands, Fever, Tiredness, Loss of appetite, Trouble chewing, Testicle pain and tenderness, Muscle aches, Loss of appetite?",Mumps
"What disease causes Fever, Nausea, Stomach cramps, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Irritability, Swollen lymph nodes, Headache, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Rashes, Chills?",Roseola
"What disease causes Abdominal pain or cramps, Vomiting, Bloody stools, Fatigue, Dehydration, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Nausea, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Nausea, Headache, Abdominal pain, Loss of appetite, Chills, Sweating, Fever, Irritability?",Norovirus Infection
"What disease causes Vomiting, Bloody stools, Headache, Fatigue, Loss of appetite, Muscle aches, Feverish, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Loss of appetite, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Loss of appetite, Dehydration, Chills, Sweating, Fever?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Headache, Fatigue, Chills, Sweating, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Mouth sores, Red spots, Sore muscles, General discomfort, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Fatigue, Dehydration, Muscle aches, Body aches, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Irritability, Swollen lymph nodes, Sore throat, Cough, Red eyes, Vomiting, Loss of appetite, Body aches, Rashes, Chills?",Roseola
"What disease causes Vomiting, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Bloody stools, Stomach cramps, Headache, Dehydration, Muscle aches, Body aches, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Low-grade fever, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Irritability, Sore throat, Red spots, Blisters, Cough, Sore muscles, Headache?","Hand, Foot, and Mouth Disease"
"What disease causes Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Vomiting, Rashes?",Roseola
"What disease causes Sores in mouth, Irritability, Sore throat, Blisters, Fatigue, Cough, Sore muscles, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Irritability, Sore throat, Fatigue, Sore muscles, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Sneezing, Fever, Cyanosis (blue lips, tongue, nailbeds), Exhaustion, Sneezing, Low-grade fever, Runny nose, Severe coughing fits, Vomiting after coughing, Fatigue?",Pertussis (Whooping Cough)
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Abdominal pain, Dehydration, Chills, Body aches, Irritability?",Norovirus Infection
"What disease causes Fever, Diarrhea, Nausea, Bloody stools, Headache, Muscle aches, Body aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Muscle aches, Body aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Swollen lymph nodes, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain?",Roseola
"What disease causes Diarrhea, Loss of appetite, Chills, Body aches, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Swollen glands, Fever, Sore throat, Strawberry tongue, Fever (100.4�F / 38.0�C or higher), Sore and red throat with patches, Difficulty swallowing, Nausea or vomiting, Headache and body aches?",Scarlet Fever
"What disease causes High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Vomiting, Body aches, Chills?",Roseola
"What disease causes Abdominal pain or cramps, Fatigue, Feverish, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes High fever, Runny nose, Sore throat, Cough, Red eyes, Body aches, Chills?",Roseola
"What disease causes Runny nose, Rash, Fatigue, Headache, Cough, Red eyes, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Loss of appetite, Body aches, Feverish, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Sores in mouth, Irritability, Mouth sores, Sore muscles, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Irritability, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Loss of appetite, Abdominal pain, Body aches?",Roseola
"What disease causes Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Body aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Nausea, Stomach cramps, Fatigue, Muscle aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Fatigue, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Vomiting, Abdominal pain, Rashes, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Nausea, Bloody stools, Stomach cramps, Fatigue, Loss of appetite, Muscle aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Loss of appetite, Irritability, Mouth sores, Red spots, Sore muscles, Headache, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Runny nose, Rash, Fatigue, Sore throat, Vomiting, Loss of appetite, Chills, Feverish?",Roseola
"What disease causes Runny nose, Swollen lymph nodes, Headache, Cough, Diarrhea, Body aches?",Roseola
"What disease causes Abdominal pain, Chills, Rashes, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Headache, Dehydration, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Stomach cramps, Headache, Fatigue, Muscle aches, Feverish, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Body aches, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Vomiting, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Bloody stools, Stomach cramps, Muscle aches, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Rash, Irritability, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Chills, Sweating, Rashes, General discomfort, Irritability?",Norovirus Infection
"What disease causes Low-grade fever, Fatigue, Abdominal pain, Loss of appetite, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Rash, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches, Chills?",Roseola
"What disease causes High fever, Runny nose, Rash, Swollen lymph nodes, Sore throat, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Nausea, Abdominal pain, Loss of appetite, Chills, Sweating, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes Low-grade fever, Muscle aches, Headache, Dehydration, Chills, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Loss of appetite, Body aches, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Low-grade fever, Nausea, Headache, Loss of appetite, Chills, Sweating, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Rash, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Rash, Fatigue, Headache, Cough, Diarrhea, Body aches, Chills?",Roseola
"What disease causes Rash, Irritability, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Abdominal pain, Chills, Feverish?",Roseola
"What disease causes Vomiting, Stomach cramps, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches, Fever?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Dehydration, Chills, Sweating, Body aches, Rashes?",Norovirus Infection
"What disease causes Fever, Stomach cramps, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Whooping cough, Fever, Cyanosis (blue lips, tongue, nailbeds), Sneezing, Low-grade fever, Runny nose, Severe coughing fits, Vomiting after coughing?",Pertussis (Whooping Cough)
"What disease causes Fever, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Body aches, Feverish, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Rash on hands and feet, Loss of appetite, Blisters, Sore muscles, Headache, General discomfort?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Vomiting, Fatigue, Dehydration, Muscle aches, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Bloody stools, Stomach cramps, Headache, Dehydration, Loss of appetite, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Loss of appetite, Body aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Irritability, Fatigue, Swollen lymph nodes, Headache, Vomiting, Loss of appetite, Abdominal pain, Chills?",Roseola
"What disease causes Diarrhea, Nausea, Headache, Dehydration, Chills, Sweating, Body aches, Irritability?",Norovirus Infection
"What disease causes Fatigue, Swollen lymph nodes, Headache, Cough, Loss of appetite, Body aches, Rashes, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Rashes, General discomfort?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Fatigue, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Rash on hands and feet, Loss of appetite, Mouth sores, Fatigue, Sore muscles, Headache, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Vomiting, Muscle aches, Abdominal pain, Dehydration, Sweating, Rashes, General discomfort?",Norovirus Infection
"What disease causes Stomach cramps, Muscle aches, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Irritability, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Low-grade fever, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Sweating, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Muscle aches, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Feverish, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Swollen lymph nodes, Sore throat, Cough, Loss of appetite, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes High fever, Rash, Sore throat, Cough, Diarrhea, Vomiting, Abdominal pain, Rashes, Chills, Feverish?",Roseola
"What disease causes Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Diarrhea, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Nausea, Fatigue, Loss of appetite, Fever, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Nausea, Loss of appetite, Muscle aches, Feverish, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Rashes?",Norovirus Infection
"What disease causes Fever, Sores in mouth, Irritability, Sore throat, Red spots, Fatigue, Cough, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Headache, Loss of appetite, Muscle aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Fatigue, Sore throat, Headache, Cough, Diarrhea, Loss of appetite, Rashes?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Chills, Body aches, Fever, Irritability?",Norovirus Infection
"What disease causes Irritability, Swollen lymph nodes, Headache, Vomiting, Loss of appetite, Chills?",Roseola
"What disease causes Nausea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
